author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 117311998;homeowner;https://kazan.cian.ru/sale/flat/304353129/;Казань;sale;flat;16;19;1;36.0;6200000;Советский;проспект Победы;184;Горки;
СМУ-88;developer;https://kazan.cian.ru/sale/flat/301679916/;Казань;sale;flat;11;14;1;29.21;9052857;Советский;;;Горки;Вознесенский Квартал ЖК
ID 61469619;homeowner;https://kazan.cian.ru/sale/flat/303031375/;Казань;sale;flat;4;6;2;61.0;8000000;Московский; Тунакова;49/41;Яшьлек;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303122652/;Казань;sale;flat;1;9;1;98.79;35564400;Советский;;;Суконная слобода;Мифы
ID 12480861;homeowner;https://kazan.cian.ru/sale/flat/300245810/;Казань;sale;flat;8;20;2;58.0;13500000;Ново-Савиновский; Алексея Козина;3Б;Козья слобода;
Авторы;developer;https://kazan.cian.ru/sale/flat/291146717/;Казань;sale;flat;3;7;2;100.65;24277771;Кировский; Большая;76;Кремлёвская;Лаунж-дома Авторы на Большой
ID 116065318;homeowner;https://kazan.cian.ru/sale/flat/301525779/;Казань;sale;flat;2;17;1;43.3;9400000;Ново-Савиновский; Фатыха Амирхана;12Е;Яшьлек;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842120/;Казань;sale;flat;5;5;2;68.62;24703200;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
ID 118903989;homeowner;https://kazan.cian.ru/sale/flat/304791945/;Казань;sale;flat;3;9;1;29.0;6909600;Советский; Родины;;Дубравная;Ометьевский Парк
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842115/;Казань;sale;flat;5;5;2;65.31;23511600;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/278019918/;Казань;sale;flat;5;5;2;43.4;6500000;Приволжский; Качалова;104/2;Суконная слобода;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304842112/;Казань;sale;flat;5;5;2;56.17;20221200;Вахитовский;;;Кремлёвская;Дом на Исхаки ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/280077828/;Казань;sale;flat;15;19;1;32.0;6600000;Приволжский; Рауиса Гареева;113;Проспект Победы;Сказочный лес
ID 75313127;developer;https://kazan.cian.ru/sale/flat/300719996/;Казань;sale;flat;22;23;1;41.48;9600000;Советский;;2;Горки;Притяжение ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/280077840/;Казань;sale;flat;19;24;2;50.0;8700000;Приволжский; Рауиса Гареева;105Б;Дубравная;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296263884/;Казань;sale;flat;4;15;2;61.49;9430000;Авиастроительный; Михаила Миля;2;Северный Вокзал;Династия
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/301644551/;Казань;sale;flat;3;10;2;53.2;8000000;Кировский; Урицкого;31/53;Кремлёвская;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/298326469/;Казань;sale;flat;3;5;2;80.4;13766000;Приволжский; Генерала Ерина;5Д;Дубравная;Времена года
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/303663135/;Казань;sale;flat;4;9;2;54.2;8200000;Приволжский; Юлиуса Фучика;51;Проспект Победы;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296265268/;Казань;sale;flat;4;19;1;42.38;8740000;Советский;;5;Аметьево;Мечта ЖК
